buyer,seller,bondIssuer,bondIsin,bondAmount,cashIssuer,cashCurrency,cashAmount,dvpId
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1001
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1002
Bob,Alice,Bank,US-002635118-0,100000,Bank,USD,1000000,B-1000-1
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1003
Bob,Alice,Bank,US-002635118-0,1000000,Bank,USD,1000000,B-1000-2
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1004
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1005
Bob,Alice,Bank,US-002635118-0,1000000,Bank,USD,1000000,B-1000-3
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1006
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1007
Bob,Alice,Bank,US-002635118-0,100000,Bank,USD,1000000,B-1000-4
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1008
Bob,Alice,Bank,US-002635118-0,100000,Bank,USD,1000000,B-1000-5
Bob,Alice,Bank,US-002635118-0,100000,Bank,USD,1000000,B-1000-6
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1009
Alice,Bob,Bank,US-000402625-0,10000,Bank,USD,100000,A-1010
Bob,Alice,Bank,US-002635118-0,100000,Bank,USD,1000000,B-1000-7
